"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"68",74,0.280760707215279,0.0072531649491696,-0.182279716551348,0.000976567955919093,-10,0.000913720605241509,-0.77206302328039,0,0.00710508382791576,0.960340478339989
"69",75,0.289897085504906,0.00173338239704168,-0.101742096797694,0.000347373982626745,0.137324891057432,0,-0.101733858142008,0,0.00142936576232714,0.959276252322633
"70",76,0.234244300380335,0.00697104982660756,-0.180378624276668,0.000346636489956691,0.126157397374687,0.000954687787148512,-0.784744292808911,0,0.00680158155572073,0.987056543395485
"71",77,0.419586122495307,0.0208380700368782,-0.265497127394672,-8.67361737988404e-19,-10,0.00264370801358963,-2.63417908232764,0,0.0200414225876397,0.888645722442226
"72",78,0.0209224043555107,5.8811045049607e-05,0.0530074518132182,0.000542628195389498,1.52876082237091,0.00326048268392162,0.558704899520651,0.0941304961602785,0.00202853659101919,6.24353388016072
"73",79,9998872561.18785,9999046790.66404,0.0495703011369015,0.37553288819077,10,3257684.93281128,10,3681.96825565309,3610.33553823514,-10
"74",80,0.605494650889174,0.135424764602732,-0.0270507361101251,0.000730952553718432,2.56183108799253,0.186223040432767,-2.13387866110259,0,0.00073843526786889,2.56267067559166
"75",81,0.599257633976632,0.026895192755736,-0.166046226432652,0.000642641042400972,-10,0,-0.166044305898897,0,0.0259112292740436,0.921364156797157
"76",82,9998560875.19435,9998563256.23279,0.0903530823276661,1.23819421889958,10,0.295231476940664,10,0.295228573526757,0,10
"77",83,9999527649.64515,9999224141.9816,0.0623546283369484,2.70121808319219,10,3316096.08240291,10,3521.68617824514,4302.08344083427,-10
"78",84,0.565971452461412,0.0199204770133794,-7.10222729714436,0.00047899452506824,0.128284208385142,0,-10,0,0.0179037201168992,0.868917200057605
"79",85,9997736746.05047,9998766087.26156,0.209131585098961,3.42698229711244,10,0.118451518226353,10,0.0018970195460223,0,1.95945972954881
"80",86,9999567666.82134,9998874790.89899,0.0440762899335696,2.51061882196433,10,4895886.6277471,10,82120.1499296464,181690.254787756,-10
"81",87,9996346740.32078,9997782150.28935,0.0367311690204026,293722.304239352,10,0.74939649718048,10,0.00073164221812185,0.0470998406820878,1.08683260632516
"82",88,9999594002.20521,9999048716.28233,0.176161020327831,0.129157053230976,10,0.147528546817723,10,0.147529595805332,0,10
